PARTIDA #1 - Ganador: g | Rondas: 3
PARTIDA #2 - Ganador: j | Rondas: 3
PARTIDA #3 - Ganador: ledo | Rondas: 3
PARTIDA #1 - Ganador: pedro | Rondas: 3
PARTIDA #2 - Ganador: pedro | Rondas: 3
PARTIDA #3 - Ganador: gaston | Rondas: 3
PARTIDA #4 - Ganador: pedro | Rondas: 3
PARTIDA #1 - Ganador: joaquin | Rondas: 3
PARTIDA #2 - Ganador: joaquin | Rondas: 3
PARTIDA #3 - Ganador: Rafael | Rondas: 3
PARTIDA #4 - Ganador: joaquin | Rondas: 3
PARTIDA #1 - Ganador: f | Rondas: 3
PARTIDA #2 - Ganador: d | Rondas: 2
PARTIDA #1 - Ganador: kj | Rondas: 3
PARTIDA #2 - Ganador: ;; | Rondas: 2
PARTIDA #1 - Ganador: l | Rondas: 3
PARTIDA #2 - Ganador: k | Rondas: 2
PARTIDA #1 - Ganador: d | Rondas: 4
PARTIDA #2 - Ganador: d | Rondas: 4
PARTIDA #3 - Ganador: d | Rondas: 4
